"X1","X2","X3","X4","X5","X6","f1","f2","Rank","CrowdingDistance"
"66.326","214.33","9.0523","1882","13.95","219.85","210700","799050000","1","-1"
"66.516","213.74","9","1885.5","14.724","219.82","290190","781980000","1","-1"
"66.568","214.58","9.1445","1880.9","14.079","219.32","122160","719430000","1","-1"
"66.047","211.31","9.0513","1883.3","12.487","215.27","133740","819670000","1","-1"
"66.132","210.71","9.0028","1882.7","11.737","214.75","158470","1031400000","1","-1"
"70.86","210.42","9.0483","1892.7","6.1359","210.2","326740","780350000","1","-1"
"70.894","210.4","9.0066","1893.7","6.0277","210","178440","748510000","1","-1"
"71.034","210.53","9.1363","1892.8","6.3387","210.12","743490","1322700000","1","-1"
"68.397","210","9","1894.2","14.893","217.16","345410","2090000000","1","-1"
"68.486","210.33","9.0699","1897.3","15","217.01","720980","2094000000","1","-1"
"68.635","210.64","9.6423","1896.1","15","216.88","1314100","2149300000","1","-1"
"70.198","214.14","9","1829.8","7.2511","217.74","1220200","3618800000","1","-1"
"67.542","214.26","9","1812.6","14.52","219.87","15296000","12082000000","1","-1"
